text,label
how many vacation days do i get,HR
what is the pto policy,HR
how do i request time off,HR
can i carry over unused vacation days,HR
how much pto do i accrue per pay period,HR
what are the company holidays,HR
do we get the day after thanksgiving off,HR
how do i call in sick,HR
what is the sick leave policy,HR
how many sick days can i take,HR
can i use pto for sick days,HR
what is the parental leave policy,HR
how much maternity leave do i get,HR
do fathers get paternity leave,HR
how long is paid parental leave,HR
when does parental leave start,HR
can i take parental leave for adoption,HR
what benefits do foster parents get,HR
how do i apply for parental leave,HR
do i need to notify anyone before taking parental leave,HR
what health insurance plans are available,HR
whats the difference between ppo and hmo,HR
how much does health insurance cost,HR
when can i enroll in benefits,HR
what is the benefits enrollment deadline,HR
can i add my spouse to health insurance,HR
how do i add dependents to my insurance,HR
does the company offer dental insurance,HR
is vision coverage included,HR
what does the dental plan cover,HR
how much is the deductible for the ppo plan,HR
what is the out of pocket maximum,HR
do i need a referral to see a specialist,HR
can i use out of network providers,HR
what is covered under preventive care,HR
are mental health services covered,HR
how much is a primary care visit copay,HR
what is the emergency room copay,HR
does insurance cover prescriptions,HR
how much do generic drugs cost,HR
what is the 401k match,HR
how much does the company match for retirement,HR
when can i enroll in the 401k,HR
how do i sign up for 401k,HR
what is the vesting schedule for 401k,HR
am i vested in my 401k immediately,HR
can i take a loan from my 401k,HR
what are the 401k contribution limits,HR
should i do traditional or roth 401k,HR
what investment options are available in 401k,HR
how do i change my 401k contribution,HR
can i roll over my old 401k,HR
what happens to my 401k if i leave,HR
who do i contact about retirement planning,HR
is there life insurance,HR
how much life insurance coverage do i have,HR
can i buy additional life insurance,HR
does the company offer disability insurance,HR
what is short term disability,HR
how long does short term disability last,HR
what percentage of salary does disability pay,HR
how do i file a disability claim,HR
can i work remotely,HR
what is the remote work policy,HR
how many days can i work from home,HR
do i need approval to work remotely,HR
whats the hybrid work schedule,HR
how many days do i need to be in office,HR
can i work from anywhere,HR
what equipment do i get for remote work,HR
is there a home office stipend,HR
can i expense my internet for remote work,HR
what are the expectations for remote workers,HR
do i need to be available during specific hours when remote,HR
can i travel while working remotely,HR
what is the dress code,HR
can i wear jeans to work,HR
is there a casual friday,HR
what should i wear to client meetings,HR
are sneakers allowed,HR
whats business casual here,HR
can i wear shorts in the summer,HR
is there a formal dress code policy,HR
where can i find the employee handbook,HR
what is the code of conduct,HR
what are the company policies,HR
is there a harassment policy,HR
how do i report harassment,HR
what is the ethics hotline number,HR
can i have a side job,HR
what is the outside employment policy,HR
do i need to disclose freelance work,HR
what is the social media policy,HR
can i post about work on social media,HR
am i allowed to drink alcohol at work events,HR
what is the substance abuse policy,HR
can i bring my dog to work,HR
are pets allowed in the office,HR
what is the visitor policy,HR
can my family visit the office,HR
how do i refer someone for a job,HR
is there a referral bonus,HR
how much is the employee referral bonus,HR
what is the performance review process,HR
when are performance reviews,HR
how often do we have one on ones,HR
what are okrs,HR
how do i set goals,HR
when do i get a raise,HR
how does the promotion process work,HR
what are the career paths available,HR
is there internal mobility,HR
can i transfer to another department,HR
