text,filename,label
techcorp employee benefits guide 2026 investing in your well being and future table of contents 1 introduction to your benefits 2 health insurance plans 3 401 k retirement plan 4 parental leave 5 gym membership reimbursement 6 education reimbursement 7 how to enroll in benefits 8 frequently asked questions 9 contact information 1 introduction to your benefits welcome to techcorp s comprehensive benefits program we believe that our employees are our most valuable a,benefits_guide.pdf,HR
gym membership reimbursement up to 50 month employee assistance program eap financial security 401 k retirement plan with 6 company match life and disability insurance flexible spending accounts fsa family support parental leave 12 weeks paid childcare resources and assistance dependent care fsa professional development education reimbursement up to 5 000 year professional certification support learning and development programs coverage begins your b,benefits_guide.pdf,HR
key features flexibility no primary care physician pcp required no referrals needed to see specialists access to nationwide network of providers out of network coverage available at higher cost coverage summary service in network out of network annual deductible individual family 500 1 000 1 500 3 000 out of pocket max individual family 3 000 6 000 6 000 12 000 primary care visit 25 copay 30 coinsurance specialist visit 40 copay 30 coinsurance emer,benefits_guide.pdf,HR
want flexibility in choosing doctors and hospitals don t want to deal with referrals to see specialists travel frequently and need nationwide coverage prefer paying slightly higher premiums for lower out of pocket costs hmo plan overview what is an hmo a health maintenance organization hmo plan provides comprehensive coverage at a lower cost by requiring you to use a network of providers you ll choose a primary care physician pcp who coordinates your care and provides ref,benefits_guide.pdf,HR
service in network brand prescriptions 25 copay monthly premium costs coverage level employee cost company contribution employee only 35 315 90 employee spouse 95 505 84 employee child ren 75 425 85 family 125 675 84 best for the hmo plan may be right for you if you want lower premiums and predictable costs don t mind coordinating care through a pcp live in an area with a strong hmo network want comprehensive coverage at the lowest cost plan com,benefits_guide.pdf,HR
scenario 1 healthy individual annual wellness visit only ppo cost 900 premium 900 year hmo cost 420 premium 420 year hmo saves 480 scenario 2 family with children multiple visits urgent care prescriptions ppo cost 2 700 premium copays deductible 4 900 year hmo cost 1 500 premium copays deductible 2 800 year hmo saves 2 100 both plans include preventive care 100 covered annual physical exams and well child visits immunizations,benefits_guide.pdf,HR
telehealth services 24 7 dental and vision coverage dental insurance company paid for employees coverage preventive 100 covered cleanings exams x rays 2x year basic 80 covered fillings extractions major 50 covered crowns bridges root canals orthodontia 50 covered up to 2 000 lifetime max annual maximum 2 000 per person vision insurance company paid for employees coverage annual eye exam 10 copay lenses 25 copay single bifocal or,benefits_guide.pdf,HR
key benefits tax advantages pre tax contributions reduce your current taxable income tax deferred growth no taxes until withdrawal roth 401 k option available for after tax contributions company match techcorp matches 100 of the first 6 you contribute immediate vesting the match is yours from day one investment control choose from diverse investment options adjust contributions and investments anytime company match explained how the match works techcorp provid,benefits_guide.pdf,HR
your contribution company match total annual contribution 10 10 000 6 6 000 16 000 maximizing your match to receive the full company match contribute at least 6 of your salary maintain contributions throughout the year important contributing less than 6 means you re leaving free money on the table investment options target date funds professionally managed funds that automatically adjust based on your expected retirement date choose the fund closest to your retirem,benefits_guide.pdf,HR
money market fund cash like investments best for conservative investors or those near retirement enrollment and contributions eligibility all full time and part time employees enrollment available immediately upon hire no waiting period required how to enroll 1 log in to retirement techcorp com 2 complete enrollment form 3 select contribution percentage recommend at least 6 4 choose traditional roth or both 5 select investment allocations contributions begin w,benefits_guide.pdf,HR
best for those expecting lower tax rate in retirement roth 401 k after tax contributions no current tax benefit tax free growth and withdrawals in retirement best for young employees or those expecting higher tax rates later you can split contributions between both types vesting and portability immediate vesting you are 100 vested in company match immediately all company contributions are yours from day one no waiting period required portable if you leave tech,benefits_guide.pdf,HR
general purpose up to 5 years repayment primary residence up to 15 years repayment interest rate prime rate 1 50 origination fee important considerations outstanding balance due if you leave techcorp reduces retirement savings potential consider alternatives first hardship withdrawals available for immediate and heavy financial need medical expenses purchase of primary residence tuition and education expenses prevention of eviction or foreclosure tax,benefits_guide.pdf,HR
retirement planning workshops beneficiary designation important designate beneficiaries for your 401 k primary and contingent beneficiaries update after life events marriage birth divorce review annually available online anytime rollover options bringing money in roll over previous employer 401 k s and traditional iras no tax consequences if done properly if you leave techcorp roll over to new employer s 401 k roll over to ira keep money in techcorp pl,benefits_guide.pdf,HR
o birth birth parent and non birth parent o adoption o foster care placement part time employees 20 29 hours week are eligible for pro rated leave leave duration and pay 12 weeks fully paid leave all eligible parents receive 12 consecutive weeks of fully paid leave 100 of your regular salary continuation of all benefits during leave job protection under techcorp policy and fmla applies equally to birth parents and non birth parents adoptive parents and foster p,benefits_guide.pdf,HR
medical certification of expected due date birth certificate after birth for adoption foster care adoption placement documents foster care agreements application process 1 notify your manager o discuss anticipated leave dates o plan for coverage and transition o determine communication preferences 2 complete leave request form o available at hr techcorp com leave o include expected start and end dates o upload required documentation 3 hr review and approval o confirm,benefits_guide.pdf,HR
paid on regular payroll schedule direct deposit continues benefits continuation health insurance continues at employee rate 401 k match continues on paid salary life and disability insurance remain active pto continues to accrue seniority and tenure continue communication preferences you decide your level of contact during leave no contact fully disconnected emergency only contact weekly updates occasional team meetings no obligation you are not required,benefits_guide.pdf,HR
re entry process two weeks before return contact hr to confirm return date schedule re entry meeting with manager first week back gradual transition schedule available catch up meetings with team updated on projects and priorities flexible return options part time schedule for transition period up to 4 weeks flexible hours for first month remote work flexibility lactation support facilities and accommodations techcorp provides private lactation rooms at a,benefits_guide.pdf,HR
employee assistance program eap postpartum counseling new parent support groups work life balance coaching available 24 7 childcare resources dependent care fsa up to 5 000 tax free annually childcare referral service backup childcare assistance local daycare partnership discounts 5 gym membership reimbursement techcorp believes in supporting employee health and wellness our gym membership reimbursement program encourages you to maintain an active lifestyle b,benefits_guide.pdf,HR
crossfit boxes yoga and pilates studios martial arts schools boxing gyms climbing gyms swimming pools fitness classes group fitness class packages personal training sessions spin or cycling classes virtual options peloton or similar subscriptions online fitness platforms beachbody daily burn etc fitness app subscriptions apple fitness nike training club recreational sports sports league fees tennis or pickleball club memberships non eligib,benefits_guide.pdf,HR
how to request reimbursement step by step process 1 pay for your membership o keep receipts and proof of payment o ensure your name is on the receipt 2 gather documentation o monthly or annual membership invoice o proof of payment o service dates o provider name and contact information 3 submit request o log in to benefits techcorp com o navigate to wellness reimbursement o upload documentation o enter amount up to 50 o submit for approval 4 receive reimbursement o appr,benefits_guide.pdf,HR
usage rules monthly cap maximum 50 per month unused amounts do not roll over cannot save up for larger expenses example reimbursements expense monthly cost reimbursement gym membership 30 month 30 month yoga studio 75 month 50 month max personal training 200 month 50 month max virtual fitness 15 month 15 month annual memberships can be reimbursed monthly over 12 months example 600 annual membership 50 month for 12 months tax implications taxable,benefits_guide.pdf,HR
up to 5 000 per calendar year available to all full time employees pro rated for part time employees resets january 1 each year eligible expenses degree programs undergraduate and graduate bachelor s degree programs associate degree programs master s degree programs mba ms ma etc doctoral programs if job related certificate programs from accredited colleges requirements must be from accredited institution maintain minimum 2 5 gpa undergraduate o,benefits_guide.pdf,HR
cpa certified public accountant exam and prep six sigma green belt black belt hr certifications phr sphr shrm cp financial certifications cfa cfp individual courses professional development single courses at accredited institutions online courses from recognized platforms coding bootcamps data science programs technical training programs conferences and seminars industry events annual industry conferences professional association seminars tech,benefits_guide.pdf,HR
k 12 education eligibility requirements employee eligibility who can apply full time employees with 1 year of service part time employees 20 hours with 1 year good performance standing manager approval required who is not eligible employees on performance improvement plans those with pending disciplinary action temporary or contract workers course requirements pre approval required must receive approval before enrolling manager and hr approval needed,benefits_guide.pdf,HR
5 obtain manager approval 6 submit to hr at least 30 days before course start 7 receive written approval within 10 business days step 2 course completion after approval enroll in approved program pay tuition yourself maintain required grade level obtain official transcript or certificate step 3 reimbursement request submit within 60 days of completion required documents 1 completed reimbursement form 2 official transcript or certificate 3 proof of grade 4 ite,benefits_guide.pdf,HR
final grade reimbursement a or b 100 c 75 below c 0 pass p 100 graduate courses final grade reimbursement a 100 b 75 below b 0 pass p 100 certifications pass 100 reimbursement fail 0 one retry allowed annual cap 5 000 maximum per calendar year january 1 december 31 unused amounts don t roll over plan multi year programs accordingly continuing employment commitment repayment obligation if you leave techcorp voluntarily within 2 years of rec,benefits_guide.pdf,HR
